Paulo Sergio  Ceretta,Eduardo Dalcin
Luí­sa Miranda Nunes da Costa  Ignacio,Carlos Alberto Moreira dos Santos
Carlos Alberto Moreira dos Santos,Alessandra Auxiliadora de Souza  Conceição
Alessandra Auxiliadora de Souza  Conceição,Danilo Alvarenga  Corrêa
Danilo Alvarenga  Corrêa,Iara Rosa  Silva
Iara Rosa  Silva,Mariana Aranha de  Souza
Mariana Aranha de  Souza,Marco
Marco,Luí­sa Miranda Nunes da Costa  Ignacio
Márcia Gorett Ribeiro Grossi,Márcia Gorett Ribeiro Grossi
João Victor Ferreira Teixeira  Costa,Felipe Tavares
Felipe Tavares,Rodrigo Lobato
Rodrigo Lobato,João Victor Ferreira Teixeira  Costa
José Cavalcante  Lacerda Junior,Elcicleia Teixeira  Lima
Elcicleia Teixeira  Lima,José Cavalcante  Lacerda Junior
Adriano Edo Neuenfeldt,Derli Juliano Neuenfeldt
Derli Juliano Neuenfeldt,Raquel Cristina Michel
Raquel Cristina Michel,Rogério José Schuck
Rogério José Schuck,Adriano Edo Neuenfeldt
Robson  Coutinho-Silva,Larissa  Tebaldi-Reis
Larissa  Tebaldi-Reis,Gabriela Dias  Bevilacqua
Gabriela Dias  Bevilacqua,Robson  Coutinho-Silva
Renata  Costa,Marilene Santana dos Santos Garcia
Marilene Santana dos Santos Garcia,Renata  Costa
Mauren Assis de  Souza,José Antonio da Silva Ferreira Júnior
José Antonio da Silva Ferreira Júnior,Letí­cia Corrêa  Vaz
Letí­cia Corrêa  Vaz,Mauren Assis de  Souza
Niely Natalino de Freitas  Leyendecker,Rosa Maria Garcia Monaco
Rosa Maria Garcia Monaco,Niely Natalino de Freitas  Leyendecker
Rosa Maria Marcos  Mendes,Priscila da Paixão Silva  Veras
Priscila da Paixão Silva  Veras,Sylvia Coelho Alves  Sineiro
Sylvia Coelho Alves  Sineiro,Camila Eller  Gomes
Camila Eller  Gomes,Rosa Maria Marcos  Mendes
Suzane Silveira,Hosana Ramôa
